p_raw,p_cal,weight
0.401,0.295,148
0.402,0.295,43
0.402,0.296,71
0.403,0.296,127
0.404,0.296,35
0.404,0.297,87
0.405,0.297,126
0.406,0.297,48
0.406,0.298,89
0.407,0.298,129
0.408,0.298,34
0.408,0.299,110
0.409,0.299,133
0.41,0.299,25
0.41,0.3,80
0.411,0.3,125
0.412,0.3,27
0.412,0.301,116
0.413,0.301,130
0.414,0.301,8
0.414,0.302,129
0.415,0.302,132
0.416,0.302,3
0.416,0.303,148
0.417,0.303,120
0.417,0.304,1
0.418,0.304,119
0.419,0.304,117
0.419,0.305,10
0.42,0.305,130
0.421,0.305,112
0.421,0.306,14
0.422,0.306,127
0.423,0.306,102
0.423,0.307,28
0.424,0.307,130
0.425,0.307,93
0.425,0.308,37
0.426,0.308,141
0.427,0.308,76
0.427,0.309,44
0.428,0.309,130
0.429,0.309,80
0.429,0.31,51
0.43,0.31,132
0.431,0.31,69
0.431,0.311,58
0.432,0.311,117
0.433,0.311,45
0.433,0.312,74
0.434,0.312,116
0.435,0.312,55
0.435,0.313,80
0.436,0.313,124
0.437,0.313,52
0.437,0.314,84
0.438,0.314,130
0.439,0.314,34
0.439,0.315,79
0.44,0.315,137
0.441,0.315,23
0.441,0.316,119
0.442,0.316,135
0.443,0.316,12
0.443,0.317,96
0.444,0.317,138
0.445,0.317,4
0.445,0.318,130
0.446,0.318,116
0.446,0.319,4
0.447,0.319,137
0.448,0.319,122
0.448,0.32,13
0.449,0.32,122
0.45,0.32,109
0.45,0.321,21
0.451,0.321,130
0.452,0.321,82
0.452,0.322,33
0.453,0.322,130
0.454,0.322,74
0.454,0.323,46
0.455,0.323,124
0.456,0.323,72
0.456,0.324,62
0.457,0.324,124
0.458,0.324,56
0.458,0.325,64
0.459,0.325,124
0.46,0.325,44
0.46,0.326,81
0.461,0.326,128
0.462,0.326,37
0.462,0.327,87
0.463,0.327,121
0.464,0.327,30
0.464,0.328,113
0.465,0.328,123
0.466,0.328,12
0.466,0.329,92
0.467,0.329,141
0.467,0.33,1
0.468,0.33,110
0.469,0.33,113
0.469,0.331,10
0.47,0.331,119
0.471,0.331,98
0.471,0.332,19
0.472,0.332,122
0.473,0.332,91
0.473,0.333,43
0.474,0.333,138
0.475,0.333,61
0.475,0.334,44
0.476,0.334,121
0.477,0.334,50
